Year,Week,RSV_perc,Rhinovirus_perc,Parainfluenza_perc,hMPV_perc,Adenovirus_perc,Influenza_A_perc,Influenza_B_perc,Influenza_total,date,RSV_0_4_perc
2013,40,1.3,32,6.7,0.3,3.1,0,0,0,06/10/2013,
2013,41,2.8,31,5.8,0.3,3.2,0.2,0,0.2,13/10/2013,
2013,42,5.4,27,7.4,0.2,2.8,0.2,0.4,0.6,20/10/2013,
2013,43,6.3,20.8,9.2,0.8,2.8,0.7,0.3,1,27/10/2013,
2013,44,10,22,6.8,1.2,2.8,1.4,0,1.4,03/11/2013,25
2013,45,11.3,17,8.6,1.3,1.5,1.1,0.3,1.4,10/11/2013,27.1
2013,46,17.9,20.3,6.5,1.4,2.7,0.5,0,0.5,17/11/2013,39.9
2013,47,24.5,21.3,4.9,0.9,3.3,0.6,0.2,0.8,24/11/2013,49.2
2013,48,31.6,15.9,3.7,1.8,4.2,0.3,0.2,0.5,01/12/2013,53.9
2013,49,33.7,16,4.7,2,3.5,1,0.09,1.09,08/12/2013,58.1
2013,50,34.8,14.8,4,1.3,4.2,1.48,0.026666667,1.506666667,15/12/2013,58.2
2013,51,28.4,15.9,2.8,1.3,1.3,1.8,0.15,1.95,22/12/2013,47.1
2013,52,37,12.5,3.2,2.8,3.2,2.9,0,2.9,29/12/2013,51.6
2014,1,23.4,14,2.1,4.1,2.4,3.8,0.45,4.25,05/01/2014,48.7
2014,2,18.3,11.8,1.4,2.7,3.5,5.6,0.1,5.7,12/01/2014,35.6
2014,3,12.1,9.8,1.6,1.5,3,7.2,0.28,7.48,19/01/2014,24.9
2014,4,11.5,13.7,0.6,2.9,4.1,7.4,0.275,7.675,26/01/2014,21.2
2014,5,6.2,13.5,1.8,3.1,4.7,8.4,0.128571429,8.528571429,02/02/2014,13.5
2014,6,5.1,13.8,1.8,2.2,2.8,15.5,0.255555556,15.75555556,09/02/2014,10.5
2014,7,4.6,11.3,1.8,3.7,2.6,17.3,0.466666667,17.76666667,16/02/2014,11
2014,8,3.7,10.3,1.7,2.4,4.1,17.3,0.222222222,17.52222222,23/02/2014,8.1
2014,9,2,9.4,1.6,3.6,3.8,18.8,0.12,18.92,02/03/2014,5.4
2014,10,2.5,9.7,2.5,3.4,4.7,16,0.113043478,16.11304348,09/03/2014,6.3
2014,11,1.8,10.4,2.3,3.5,4.5,15.3,0.42,15.72,16/03/2014,4.2
2014,12,2.2,12.7,2,4.2,5.4,7.9,0.45,8.35,23/03/2014,4.3
2014,13,1.4,13.9,3.8,4.6,3.8,9.6,0.225,9.825,30/03/2014,
2014,14,1.3,14.3,3.6,5.2,4.6,7.5,0.7,8.2,06/04/2014,
2014,15,0.8,12.6,4,5.6,5.7,5.6,0.125,5.725,13/04/2014,
2014,16,1.8,15.6,7.9,4.3,5.4,4.6,0.633333333,5.233333333,20/04/2014,
2014,17,0.2,14,8,5.2,5.6,3.3,0.25,3.55,27/04/2014,
2014,18,0.3,9.1,6.3,4.3,5.5,4.4,1.8,6.2,04/05/2014,
2014,19,1.3,14.3,8.2,3.4,4.2,2.2,1.1,3.3,11/05/2014,
2014,20,0.2,19,5.2,2.4,3.9,2.1,1,3.1,18/05/2014,
2014,22,0.6,18.2,7,2.4,7.8,1.7,0.566666667,2.266666667,01/06/2014,
2014,24,0.2,18.3,5.1,2.6,6.1,1.3,0.26,1.56,15/06/2014,
2014,26,0.4,14.4,5.1,1.9,4.1,0,0.2,0.2,29/06/2014,
2014,28,0.9,16.9,4.8,1.7,5.5,0.5,0,0.5,13/07/2014,
2014,30,0.4,17.5,4.9,1.3,6.3,0.2,0.2,0.4,27/07/2014,
2014,32,1.1,12.7,2.9,0.3,3.3,0.8,0,0.8,10/08/2014,
2014,34,0.5,12,2.3,1.1,4,0.8,0,0.8,24/08/2014,
2014,36,0.8,12.8,2.5,0.1,2.9,1.416666667,0.283333333,1.7,07/09/2014,
2014,38,1,29.8,2.6,0,4.1,0.15,0.15,0.3,21/09/2014,
2014,40,1.5,23,3.1,0.4,4.7,0.3,0,0.3,05/10/2014,3.3
2014,41,2.8,23.7,3.1,0.5,3.9,0.15,0.15,0.3,12/10/2014,6.9
2014,42,3.1,21.1,3.5,0,3.7,1.066666667,0.533333333,1.6,19/10/2014,8.3
2014,43,5.8,18.2,3.7,1,3.1,1.333333333,0.266666667,1.6,26/10/2014,15.2
2014,44,7,18.8,3.9,1.1,4.1,1.2,0.3,1.5,02/11/2014,18.9
2014,45,11.1,15.5,2.5,1,3.6,0.514285714,0.385714286,0.9,09/11/2014,24.6
2014,46,15.4,13.7,3.2,2.5,3.5,1.090909091,0.109090909,1.2,16/11/2014,31.5
2014,47,22.3,12.5,3.7,2.3,4.4,5.236363636,0.163636364,5.4,23/11/2014,37.1
2014,48,18.1,11,2.6,3.5,4.3,3.80952381,0.19047619,4,30/11/2014,31.7
2014,49,26.5,12.5,4,2.4,3.2,7.79625,0.296341463,8.092591463,07/12/2014,48.5
2014,50,25.6,10.2,2.9,3.4,2.9,15.33,0.07,15.4,14/12/2014,49.1
2014,51,17.3,8.4,2.6,3,2,22.2,0,22.2,21/12/2014,41.5
