t,influ_perc,rhino_perc
-1183.0,0.0,0.32
-1176.0,0.002,0.31
-1169.0,0.006000000000000001,0.27
-1162.0,0.01,0.20800000000000002
-1155.0,0.013999999999999999,0.22
-1148.0,0.014000000000000002,0.17
-1141.0,0.005,0.203
-1134.0,0.008,0.213
-1127.0,0.005,0.159
-1120.0,0.0109,0.16
-1113.0,0.01506666667,0.14800000000000002
-1106.0,0.0195,0.159
-1099.0,0.028999999999999998,0.125
-1092.0,0.0425,0.14
-1085.0,0.056999999999999995,0.11800000000000001
-1078.0,0.0748,0.098
-1071.0,0.07675000000000001,0.13699999999999998
-1064.0,0.08528571429000001,0.135
-1057.0,0.15755555556,0.138
-1050.0,0.17766666667,0.113
-1043.0,0.17522222222,0.10300000000000001
-1036.0,0.1892,0.094
-1029.0,0.16113043478000003,0.09699999999999999
-1022.0,0.1572,0.10400000000000001
-1015.0,0.08349999999999999,0.127
-1008.0,0.09824999999999999,0.139
-1001.0,0.08199999999999999,0.14300000000000002
-994.0,0.057249999999999995,0.126
-987.0,0.05233333333,0.156
-980.0,0.0355,0.14
-973.0,0.062,0.091
-966.0,0.033,0.14300000000000002
-959.0,0.031,0.19
-945.0,0.02266666667,0.182
-931.0,0.015600000000000001,0.183
-917.0,0.002,0.14400000000000002
-903.0,0.005,0.16899999999999998
-889.0,0.004,0.175
-875.0,0.008,0.127
-861.0,0.008,0.12
-847.0,0.017,0.128
-833.0,0.003,0.298
-819.0,0.003,0.23
-812.0,0.003,0.237
-805.0,0.016,0.21100000000000002
-798.0,0.016,0.182
-791.0,0.015,0.188
-784.0,0.009000000000000001,0.155
-777.0,0.012000000000000002,0.13699999999999998
-770.0,0.054000000000000006,0.125
-763.0,0.04,0.11
-756.0,0.08092591463,0.125
-749.0,0.154,0.102
-742.0,0.222,0.084
-735.0,0.30799999995,0.075
-728.0,0.317,0.061
-721.0,0.25000000003999995,0.073
-714.0,0.19399999996000003,0.057999999999999996
-707.0,0.16800000001999998,0.083
-700.0,0.18199999998,0.084
-693.0,0.11299999996,0.11599999999999999
-686.0,0.15100000000000002,0.11
-679.0,0.13199999998,0.09300000000000001
-672.0,0.131,0.09300000000000001
-665.0,0.105,0.087
-658.0,0.122,0.094
-651.0,0.10300000000000001,0.040999999999999995
-644.0,0.105,0.11
-637.0,0.091,0.092
-630.0,0.081,0.095
