ts,rsv_hosp_rate
-1155.0,2.1696886915509497
-1148.0,2.3519425416412294
-1141.0,3.4628231517153156
-1134.0,4.26994734497227
-1127.0,4.677848818983847
-1120.0,5.042356519164407
-1113.0,5.051035273930611
-1106.0,4.087693494881989
-1099.0,4.47823745936116
-1092.0,4.22655357114125
-1085.0,3.0896366967685522
-1078.0,2.1610099367847457
-1071.0,1.8398960104352053
-1064.0,1.1716318934375127
-1057.0,0.9112692504513988
-1050.0,0.9546630242824179
-1043.0,0.7029791360625076
-1036.0,0.46865275737500517
-1029.0,0.5467615502708393
-1022.0,0.36450770018055956
-1015.0,0.37318645494676334
-980.0,0.05
-973.0,0.05
-959.0,0.05
-931.0,0.05
-917.0,0.05
-889.0,0.05
-861.0,0.05
-819.0,0.28639890728472533
-812.0,0.5988340788680622
-805.0,0.7203366455949154
-798.0,1.3191707244629773
-791.0,1.6402846508125177
-784.0,2.134973672486135
-777.0,2.7338077513541967
-770.0,3.2198180182616096
-763.0,2.751165260886604
-756.0,4.209196061608842
-749.0,4.261268590206066
-742.0,3.6016832279745765
-735.0,2.9681341300416992
-728.0,2.117616162953727
-644.0,0.05
-581.0,0.05
-553.0,0.05
-539.0,0.05
-525.0,0.05
-497.0,0.05
-469.0,0.05
-434.0,1.032771817178252
-427.0,2.0829011438889116
-420.0,2.1436524272523383
-413.0,3.2371755277940166
-406.0,3.8707246257268944
-399.0,3.9054396447917092
-392.0,4.278626099738473
-385.0,4.391449911699122
-378.0,3.8012945875972637
-371.0,2.725128996587993
-364.0,2.9507766205092913
-357.0,2.1783674463171536
-350.0,1.30181321493057
-343.0,1.2323831768009395
-336.0,0.7810879289583419
-329.0,0.5294040407384317
-252.0,0.05
-231.0,0.05
-224.0,0.05
-217.0,0.05
-196.0,0.05
-168.0,0.05
-70.0,1.7965022366041863
-63.0,1.848574765201409
-56.0,2.8379528085486423
-49.0,3.1503879801319785
-42.0,4.0790147401157855
-35.0,4.3220198735694915
-28.0,4.235232325907454
-21.0,4.035620966284767
-14.0,3.8360096066620795
-7.0,3.5322531898449463
0.0,3.0202066586389216
7.0,2.3606212964074333
14.0,1.0935231005416786
21.0,1.1108806100740862
28.0,0.8158029480231571
35.0,0.46865275737500517
154.0,0.05
168.0,0.05
182.0,0.05
196.0,0.05
280.0,0.76
287.0,0.66
294.0,0.91
301.0,1.33
308.0,1.82
315.0,3.0
322.0,4.01
329.0,4.06
336.0,3.39
343.0,3.86
350.0,3.12
357.0,2.68
364.0,2.49
371.0,2.14
378.0,1.8
385.0,1.29
392.0,0.97
399.0,0.74
406.0,0.74
413.0,0.54
420.0,0.77
427.0,0.48
434.0,0.7
441.0,0.3
448.0,0.45
455.0,0.38
462.0,0.36
469.0,0.34
476.0,0.23
483.0,0.14
490.0,0.23
497.0,0.14
504.0,0.46
518.0,0.05
532.0,0.05
546.0,0.05
560.0,0.05
